

====================================================
Starting ETL.Sp_FPDSdelta_5_FixCodeNameMismatch
Start Time: 2026-06-13 12:08:37
Total record to process: 1425010
====================================================
sam_exception









recipient_duns	recipient_uei	recipient_parent_duns	recipient_parent_uei	contract_transaction_unique_key



























productorservicecode	product_or_service_code_description	minofsignedyear	maxofsignedyear	minoflast_modified_year	maxoflast_modified_year	PlatformPortfolio	ProductServiceOrRnDarea	RnD_budgetActivity
AH15	R&D-POLLUTION CONT/ABATE-OPSY DEV	2005	2005	2006	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH15	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; WATER RESOURCES; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AH24	AIR POLLUTION (ENGINEERING)	2001	2009	2004	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH24	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; CONSERVATION & LAND MGMT; R&D ADMINISTRATIVE EXPENSES	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH34	WATER POLLUTION (ENGINEERING)	2003	2009	2008	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH34	NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; RECREATIONAL RESOURCES; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH35	R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH35	WATER POLLUTION (OPERATIONAL)	2001	2009	2006	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH35	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; RECREATIONAL RESOURCES; R&D FACILITIES & MAJ EQUIP	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AH43	NOISE POLLUTION (ADVANCED)	2001	2005	2005	2007	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AH43	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; EXPERIMENTAL DEVELOPMENT	2022	2023	2023	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AH44	NOISE POLLUTION (ENGINEERING)	2004	2005	2018	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AH44	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AH45	NOISE POLLUTION (OPERATIONAL)	2005	2009	2007	2020	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AH45	NATURAL RESOURCES & ENVIRONMENT R&D SVCS; POLLUTION CONTROL & ABATEMENT; R&D FACILITIES & MAJ EQUIP	2023	2023	2023	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AJ13	PHYSICAL SCIENCES (ADVANCED)	2001	2009	2002	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AJ13	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AJ13	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AJ14	PHYSICAL SCIENCES (ENGINEERING)	2001	2009	2002	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AJ14	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ENGINEERING DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AJ14	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AJ15	PHYSICAL SCIENCES (OPERATIONAL)	2001	2009	2001	2021	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AJ15	R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (OPERATIONAL SYSTEMS DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AJ15	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AK14	R&D- HOUSING: HOUSING (ENGINEERING DEVELOPMENT)	2020	2020	2020	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AK14	HOUSING (ENGINEERING)	2004	2008	2008	2020	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AK14	COMMERCE AND HOUSING CREDIT R&D SERVICES; COMMERCE AND HOUSING CREDIT; R&D ADMINISTRATIVE EXPENSES	2022	2022	2022	2022	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AK14	GENERAL SCIENCE & TECHNOLOGY R&D SVCS; GENERAL SCIENCE & TECHNOLOGY; R&D ADMINISTRATIVE EXPENSES	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D administrative and operational expenses	R&D administrative and operational expenses
AM15	R&D-INTERNATIONAL AFFAIRS-OPSY DEV	2003	2006	2004	2019	Other R&D and Knowledge Based	Operational Systems Development	Operational Systems Development
AM15	INTERNATIONAL AFFAIRS R&D SVCS; INTERNATIONAL AFFAIRS; R&D FACILITIES & MAJ EQUIP	2022	2023	2022	2023	Other R&D and Knowledge Based	R&D facilities and major equipment	R&D facilities and major equipment
AN13	R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)	2020	2020	2020	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN13	BIOMEDICAL (ADVANCED)	2001	2009	2002	2022	Other R&D and Knowledge Based	Advanced Development	Advanced Development
AN13	HEALTH R&D SERVICES; HEALTH CARE SERVICES; EXPERIMENTAL DEVELOPMENT	2022	2023	2022	2023	Other R&D and Knowledge Based	Experimental Development	Experimental Development
AN14	BIOMEDICAL (ENGINEERING)	2001	2009	2004	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
AN14	R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)	2020	2020	2020	2021	Other R&D and Knowledge Based	Engineering Development	Engineering Development
